5989	B. Brewer	2	2	PHIL 204W, PHIL 220W	1464:Benjamin Brewer [dept=1, nonres=2, any=2]; 5985:Brewer [dept=0, nonres=0, any=0]
4846	C. Su	2	4	CS 598R, CS 599R	3524:Caspar Lu [dept=0, nonres=0, any=0]; 447:Chang Su [dept=0, nonres=0, any=0]; 4048:Cliff Wu [dept=0, nonres=0, any=0]; 4590:Colin Xu [dept=0, nonres=0, any=0]
7518	J. Johnson	2	4	AAS 325, REL 325	2528:Jaeden Johnson [dept=0, nonres=0, any=0]; 4553:Jamihlia Johnson [dept=0, nonres=0, any=0]; 3845:Jasmine Johnson [dept=0, nonres=0, any=0]; 7043:Johnson [dept=0, nonres=0, any=0]
6690	Q. Tang	2	2	ECON 220	544:Qianqian Tang [dept=0, nonres=0, any=0]; 4543:Quynh-Giang Dang [dept=0, nonres=0, any=0]
7274	R. Johnson	2	3	PHIL 100, PHIL 204W	2265:Rylie Johnson [dept=1, nonres=1, any=1]; 2270:Robert Johnson [dept=1, nonres=0, any=0]; 2925:Roger Johnson [dept=0, nonres=0, any=0]
5343	S. Patel	2	2	EPI 798R, EPI 799R	711:Shivani A Patel [dept=0, nonres=0, any=0]; 2184:Shyamal Patel [dept=0, nonres=0, any=0]
8230	A. Rodriguez	1	2	FREN 391R	4183:Alicia Rodriguez [dept=0, nonres=0, any=0]; 2588:Arianna Rodriguez [dept=0, nonres=0, any=0]
6126	J. LeMon	1	2	THM 650	1956:Joel LeMon [dept=0, nonres=0, any=0]; 1992:Juan Leon [dept=0, nonres=0, any=0]
4966	J. Smith	1	2	CHEM 203	342:Julia Smith [dept=1, nonres=1, any=1]; 509:Jocelyn Monique Smith [dept=0, nonres=0, any=0]
6687	L. Xu	1	3	ECON 201	2779:Linlin Wu [dept=0, nonres=0, any=0]; 6544:Lu [dept=0, nonres=0, any=0]; 540:Lucie Xu [dept=0, nonres=0, any=0]
5611	M. Allen	1	2	MATH 111	1891:Maddie Allen [dept=1, nonres=1, any=1]; 2099:Michael Allen [dept=0, nonres=0, any=0]
6684	S. Cai	1	2	ECON 101	530:Shirley Cai [dept=0, nonres=0, any=0]; 3226:Steven Cai [dept=0, nonres=0, any=0]
5483	S. Goss	1	2	EAS 397R	4513:Samiha Ross [dept=0, nonres=0, any=0]; 528:Seth J Goss [dept=0, nonres=0, any=0]
6450	Y. Chen	1	4	MATH 111	3496:Yinxian Chen [dept=0, nonres=0, any=0]; 1889:Yizhou(Riley) Chen [dept=0, nonres=0, any=0]; 3468:Yuan Chen [dept=0, nonres=0, any=0]; 4467:Yuxuan Chen [dept=0, nonres=0, any=0]
5142	Y. Liu	1	6	SIRE 299R	587:Yang Liu [dept=0, nonres=0, any=0]; 4370:Yawei Liu [dept=0, nonres=0, any=0]; 3251:Yi Liu [dept=0, nonres=0, any=0]; 3637:Yingte Liu [dept=0, nonres=0, any=0]; 208:Yuan Liu [dept=0, nonres=0, any=0]; 3007:Yutong Liu [dept=0, nonres=0, any=0]
